"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.3276,1,1,0,1,0.017047,0.012054,0.11205,0
3.3276,1,1,0,1,0.017174,0.012144,0.11214,0
3.3276,1,1,0,1,0.017301,0.012234,0.11223,0
3.3276,1,1,0,1,0.017429,0.012324,0.11232,0
3.3276,1,1,0,1,0.017556,0.012414,0.11241,0
3.3276,1,1,0,1,0.017683,0.012504,0.1125,0
3.3276,1,1,0,1,0.01781,0.012594,0.11259,0
3.3276,1,1,0,1,0.017937,0.012684,0.11268,0
3.3276,1,1,0,1,0.018065,0.012774,0.11277,0
3.3276,1,1,0,1,0.018192,0.012864,0.11286,0
3.3276,1,1,0,1,0.018319,0.012954,0.11295,0
3.3266,1,1,0,1,0.018446,0.013043,0.11304,0
3.3266,1,1,0,1,0.018573,0.013133,0.11313,0
3.3266,1,1,0,1,0.018701,0.013223,0.11322,0
3.3266,1,1,0,1,0.018828,0.013313,0.11331,0
3.3266,1,1,0,1,0.018955,0.013403,0.1134,0
3.3266,1,1,0,1,0.019082,0.013493,0.11349,0
3.3266,1,1,0,1,0.01921,0.013583,0.11358,0
3.3266,1,1,0,1,0.019337,0.013673,0.11367,0
3.3266,1,1,0,1,0.019464,0.013763,0.11376,0
3.3266,1,1,0,1,0.019591,0.013853,0.11385,0
3.3266,1,1,0,1,0.019718,0.013943,0.11394,0
3.3257,1,1,0,1,0.019846,0.014033,0.11403,0
3.3257,1,1,0,1,0.019973,0.014123,0.11412,0
3.3257,1,1,0,1,0.0201,0.014213,0.11421,0
3.3257,1,1,0,1,0.020227,0.014303,0.1143,0
3.3257,1,1,0,1,0.020354,0.014393,0.11439,0
3.3257,1,1,0,1,0.020482,0.014483,0.11448,0
3.3257,1,1,0,1,0.020609,0.014573,0.11457,0
3.3257,1,1,0,1,0.020736,0.014663,0.11466,0
3.3257,1,1,0,1,0.020863,0.014753,0.11475,0
3.3257,1,1,0,1,0.020991,0.014843,0.11484,0
3.3257,1,1,0,1,0.021118,0.014933,0.11493,0
3.3247,1,1,0,1,0.021245,0.015022,0.11502,0
3.3247,1,1,0,1,0.021372,0.015112,0.11511,0
3.3247,1,1,0,1,0.021499,0.015202,0.1152,0
3.3247,1,1,0,1,0.021627,0.015292,0.11529,0
3.3247,1,1,0,1,0.021754,0.015382,0.11538,0
3.3247,1,1,0,1,0.021881,0.015472,0.11547,0
3.3247,1,1,0,1,0.022008,0.015562,0.11556,0
3.3247,1,1,0,1,0.022136,0.015652,0.11565,0
3.3247,1,1,0,1,0.022263,0.015742,0.11574,0
3.3247,1,1,0,1,0.02239,0.015832,0.11583,0
3.3247,1,1,0,1,0.022517,0.015922,0.11592,0
3.3237,1,1,0,1,0.022644,0.016012,0.11601,0
3.3237,1,1,0,1,0.022772,0.016102,0.1161,0
3.3237,1,1,0,1,0.022899,0.016192,0.11619,0
3.3237,1,1,0,1,0.023026,0.016282,0.11628,0
3.3237,1,1,0,1,0.023153,0.016372,0.11637,0
3.3237,1,1,0,1,0.02328,0.016462,0.11646,0
3.3237,1,1,0,1,0.023408,0.016552,0.11655,0
3.3237,1,1,0,1,0.023535,0.016642,0.11664,0
3.3237,1,1,0,1,0.023662,0.016732,0.11673,0
3.3237,1,1,0,1,0.023789,0.016822,0.11682,0
3.3237,1,1,0,1,0.023917,0.016912,0.11691,0
3.3228,1,1,0,1,0.024044,0.017001,0.117,0
3.3228,1,1,0,1,0.024171,0.017091,0.11709,0
3.3228,1,1,0,1,0.024298,0.017181,0.11718,0
3.3228,1,1,0,1,0.024425,0.017271,0.11727,0
3.3228,1,1,0,1,0.024553,0.017361,0.11736,0
3.3228,1,1,0,1,0.02468,0.017451,0.11745,0
3.3228,1,1,0,1,0.024807,0.017541,0.11754,0
3.3228,1,1,0,1,0.024934,0.017631,0.11763,0
3.3228,1,1,0,1,0.025061,0.017721,0.11772,0
3.3228,1,1,0,1,0.025189,0.017811,0.11781,0
3.3228,1,1,0,1,0.025316,0.017901,0.1179,0
3.3228,1,1,0,1,0.025443,0.017991,0.11799,0
3.3218,1,1,0,1,0.02557,0.018081,0.11808,0
3.3218,1,1,0,1,0.025698,0.018171,0.11817,0
3.3218,1,1,0,1,0.025825,0.018261,0.11826,0
3.3218,1,1,0,1,0.025952,0.018351,0.11835,0
3.3218,1,1,0,1,0.026079,0.018441,0.11844,0
3.3218,1,1,0,1,0.026206,0.018531,0.11853,0
3.3218,1,1,0,1,0.026334,0.018621,0.11862,0
3.3218,1,1,0,1,0.026461,0.018711,0.11871,0
3.3218,1,1,0,1,0.026588,0.018801,0.1188,0
3.3218,1,1,0,1,0.026715,0.018891,0.11889,0
3.3218,1,1,0,1,0.026842,0.018981,0.11898,0
3.3208,1,1,0,1,0.02697,0.01907,0.11907,0
3.3208,1,1,0,1,0.027097,0.01916,0.11916,0
3.3208,1,1,0,1,0.027224,0.01925,0.11925,0
3.3208,1,1,0,1,0.027351,0.01934,0.11934,0
3.3208,1,1,0,1,0.027479,0.01943,0.11943,0
3.3208,1,1,0,1,0.027606,0.01952,0.11952,0
3.3208,1,1,0,1,0.027733,0.01961,0.11961,0
3.3208,1,1,0,1,0.02786,0.0197,0.1197,0
3.3208,1,1,0,1,0.027987,0.01979,0.11979,0
3.3208,1,1,0,1,0.028115,0.01988,0.11988,0
3.3208,1,1,0,1,0.028242,0.01997,0.11997,0
3.3199,1,1,0,1,0.028369,0.02006,0.12006,0
3.3199,1,1,0,1,0.028496,0.02015,0.12015,0
3.3199,1,1,0,1,0.028624,0.02024,0.12024,0
3.3199,1,1,0,1,0.028751,0.02033,0.12033,0
3.3199,1,1,0,1,0.028878,0.02042,0.12042,0
3.3199,1,1,0,1,0.029005,0.02051,0.12051,0
3.3199,1,1,0,1,0.029132,0.0206,0.1206,0
3.3199,1,1,0,1,0.02926,0.02069,0.12069,0
3.3199,1,1,0,1,0.029387,0.02078,0.12078,0
3.3199,1,1,0,1,0.029514,0.02087,0.12087,0
3.3199,1,1,0,1,0.029641,0.02096,0.12096,0
3.3189,1,1,0,1,0.029768,0.021049,0.12105,0
3.3189,1,1,0,1,0.029896,0.021139,0.12114,0
3.3189,1,1,0,1,0.030023,0.021229,0.12123,0
3.3189,1,1,0,1,0.03015,0.021319,0.12132,0
