"wetting potential","permeability","element marker","Points:0","Points:1","Points:2"
3.58347e+00,1.00000e+00,0.00000e+00,1.46000e-01,5.58400e-01,0.00000e+00
3.57719e+00,1.00000e+00,0.00000e+00,1.47000e-01,5.58800e-01,0.00000e+00
3.57719e+00,1.00000e+00,0.00000e+00,1.48000e-01,5.59200e-01,0.00000e+00
3.57719e+00,1.00000e+00,0.00000e+00,1.49000e-01,5.59600e-01,0.00000e+00
3.56968e+00,1.00000e+00,0.00000e+00,1.50000e-01,5.60000e-01,0.00000e+00
3.56968e+00,1.00000e+00,0.00000e+00,1.51000e-01,5.60400e-01,0.00000e+00
3.56328e+00,1.00000e+00,0.00000e+00,1.52000e-01,5.60800e-01,0.00000e+00
3.56328e+00,1.00000e+00,0.00000e+00,1.53000e-01,5.61200e-01,0.00000e+00
3.55826e+00,1.00000e+00,0.00000e+00,1.54000e-01,5.61600e-01,0.00000e+00
3.55418e+00,1.00000e+00,0.00000e+00,1.55000e-01,5.62000e-01,0.00000e+00
3.55418e+00,1.00000e+00,0.00000e+00,1.56000e-01,5.62400e-01,0.00000e+00
3.54751e+00,1.00000e+00,0.00000e+00,1.57000e-01,5.62800e-01,0.00000e+00
3.54751e+00,1.00000e+00,0.00000e+00,1.58000e-01,5.63200e-01,0.00000e+00
3.54154e+00,1.00000e+00,0.00000e+00,1.59000e-01,5.63600e-01,0.00000e+00
3.54154e+00,1.00000e+00,0.00000e+00,1.60000e-01,5.64000e-01,0.00000e+00
3.53632e+00,1.00000e+00,0.00000e+00,1.61000e-01,5.64400e-01,0.00000e+00
3.53242e+00,1.00000e+00,0.00000e+00,1.62000e-01,5.64800e-01,0.00000e+00
3.53001e+00,1.00000e+00,0.00000e+00,1.63000e-01,5.65200e-01,0.00000e+00
3.52692e+00,1.00000e+00,0.00000e+00,1.64000e-01,5.65600e-01,0.00000e+00
3.52400e+00,1.00000e+00,0.00000e+00,1.65000e-01,5.66000e-01,0.00000e+00
3.51984e+00,1.00000e+00,0.00000e+00,1.66000e-01,5.66400e-01,0.00000e+00
3.51670e+00,1.00000e+00,0.00000e+00,1.67000e-01,5.66800e-01,0.00000e+00
3.51264e+00,1.00000e+00,0.00000e+00,1.68000e-01,5.67200e-01,0.00000e+00
3.51264e+00,1.00000e+00,0.00000e+00,1.69000e-01,5.67600e-01,0.00000e+00
3.50802e+00,1.00000e+00,0.00000e+00,1.70000e-01,5.68000e-01,0.00000e+00
3.50386e+00,1.00000e+00,0.00000e+00,1.71000e-01,5.68400e-01,0.00000e+00
3.50386e+00,1.00000e+00,0.00000e+00,1.72000e-01,5.68800e-01,0.00000e+00
3.50005e+00,1.00000e+00,0.00000e+00,1.73000e-01,5.69200e-01,0.00000e+00
