"pressure","permeability","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
117.21,1,1,164.9,164.9,-200,0
117.21,1,1,165.62,165.62,-200,0
117.21,1,1,166.34,166.34,-200,0
117.21,1,1,167.06,167.06,-200,0
117.14,1,1,167.78,167.78,-200,0
117.14,1,1,168.5,168.5,-200,0
117.14,1,1,169.22,169.22,-200,0
117.14,1,1,169.94,169.94,-200,0
117.14,1,1,170.66,170.66,-200,0
117.14,1,1,171.38,171.38,-200,0
117.06,1,1,172.1,172.1,-200,0
117.06,1,1,172.82,172.82,-200,0
117.06,1,1,173.54,173.54,-200,0
117.06,1,1,174.26,174.26,-200,0
117.06,1,1,174.98,174.98,-200,0
116.99,1,1,175.7,175.7,-200,0
116.99,1,1,176.42,176.42,-200,0
116.99,1,1,177.14,177.14,-200,0
116.99,1,1,177.86,177.86,-200,0
116.99,1,1,178.58,178.58,-200,0
116.99,1,1,179.3,179.3,-200,0
116.92,1,1,180.02,180.02,-200,0
116.92,1,1,180.74,180.74,-200,0
116.92,1,1,181.46,181.46,-200,0
116.92,1,1,182.18,182.18,-200,0
116.92,1,1,182.9,182.9,-200,0
116.84,1,1,183.62,183.62,-200,0
116.84,1,1,184.34,184.34,-200,0
116.84,1,1,185.06,185.06,-200,0
116.84,1,1,185.78,185.78,-200,0
116.84,1,1,186.5,186.5,-200,0
116.77,1,1,187.22,187.22,-200,0
116.77,1,1,187.94,187.94,-200,0
116.77,1,1,188.66,188.66,-200,0
116.77,1,1,189.38,189.38,-200,0
116.77,1,1,190.1,190.1,-200,0
116.77,1,1,190.82,190.82,-200,0
116.69,1,1,191.54,191.54,-200,0
116.69,1,1,192.26,192.26,-200,0
116.69,1,1,192.98,192.98,-200,0
116.69,1,1,193.7,193.7,-200,0
116.69,1,1,194.42,194.42,-200,0
116.61,1,1,195.14,195.14,-200,0
116.61,1,1,195.86,195.86,-200,0
116.61,1,1,196.58,196.58,-200,0
116.61,1,1,197.3,197.3,-200,0
116.61,1,1,198.02,198.02,-200,0
116.54,1,1,198.74,198.74,-200,0
116.54,1,1,199.46,199.46,-200,0
116.54,1,1,200.18,200.18,-200,0
116.54,1,1,200.9,200.9,-200,0
116.54,1,1,201.62,201.62,-200,0
116.54,1,1,202.34,202.34,-200,0
116.46,1,1,203.06,203.06,-200,0
116.46,1,1,203.78,203.78,-200,0
116.46,1,1,204.5,204.5,-200,0
116.46,1,1,205.22,205.22,-200,0
116.46,1,1,205.94,205.94,-200,0
116.39,1,1,206.66,206.66,-200,0
116.39,1,1,207.38,207.38,-200,0
116.39,1,1,208.1,208.1,-200,0
116.39,1,1,208.82,208.82,-200,0
116.39,1,1,209.54,209.54,-200,0
116.32,1,1,210.26,210.26,-200,0
116.32,1,1,210.98,210.98,-200,0
116.32,1,1,211.7,211.7,-200,0
116.32,1,1,212.42,212.42,-200,0
116.32,1,1,213.14,213.14,-200,0
116.25,1,1,213.86,213.86,-200,0
116.25,1,1,214.58,214.58,-200,0
116.25,1,1,215.3,215.3,-200,0
116.25,1,1,216.02,216.02,-200,0
116.25,1,1,216.74,216.74,-200,0
116.18,1,1,217.46,217.46,-200,0
116.18,1,1,218.18,218.18,-200,0
116.18,1,1,218.9,218.9,-200,0
116.18,1,1,219.62,219.62,-200,0
116.18,1,1,220.34,220.34,-200,0
116.18,1,1,221.06,221.06,-200,0
116.1,1,1,221.78,221.78,-200,0
116.1,1,1,222.5,222.5,-200,0
116.1,1,1,223.22,223.22,-200,0
116.1,1,1,223.94,223.94,-200,0
116.03,1,1,224.66,224.66,-200,0
116.03,1,1,225.38,225.38,-200,0
116.03,1,1,226.1,226.1,-200,0
116.03,1,1,226.82,226.82,-200,0
116.03,1,1,227.54,227.54,-200,0
115.95,1,1,228.26,228.26,-200,0
115.95,1,1,228.98,228.98,-200,0
115.95,1,1,229.7,229.7,-200,0
115.95,1,1,230.42,230.42,-200,0
115.95,1,1,231.14,231.14,-200,0
115.88,1,1,231.86,231.86,-200,0
115.88,1,1,232.58,232.58,-200,0
