"wetting potential","permeability-X","permeability-Y","permeability-Offdiagonal","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.441,1,1,0,1,0.059895,0.059895,0.7,0
1.4401,1,1,0,1,0.060145,0.060145,0.7,0
1.4401,1,1,0,1,0.060394,0.060394,0.7,0
1.4401,1,1,0,1,0.060644,0.060644,0.7,0
1.4401,1,1,0,1,0.060893,0.060893,0.7,0
1.4393,1,1,0,1,0.061143,0.061143,0.7,0
1.4393,1,1,0,1,0.061393,0.061393,0.7,0
1.4393,1,1,0,1,0.061642,0.061642,0.7,0
1.4393,1,1,0,1,0.061892,0.061892,0.7,0
1.4384,1,1,0,1,0.062141,0.062141,0.7,0
1.4384,1,1,0,1,0.062391,0.062391,0.7,0
1.4384,1,1,0,1,0.06264,0.06264,0.7,0
1.4384,1,1,0,1,0.06289,0.06289,0.7,0
1.4375,1,1,0,1,0.06314,0.06314,0.7,0
1.4375,1,1,0,1,0.063389,0.063389,0.7,0
1.4375,1,1,0,1,0.063639,0.063639,0.7,0
1.4375,1,1,0,1,0.063888,0.063888,0.7,0
1.4367,1,1,0,1,0.064138,0.064138,0.7,0
1.4367,1,1,0,1,0.064387,0.064387,0.7,0
1.4367,1,1,0,1,0.064637,0.064637,0.7,0
1.4367,1,1,0,1,0.064886,0.064886,0.7,0
1.4358,1,1,0,1,0.065136,0.065136,0.7,0
1.4358,1,1,0,1,0.065386,0.065386,0.7,0
1.4358,1,1,0,1,0.065635,0.065635,0.7,0
1.4358,1,1,0,1,0.065885,0.065885,0.7,0
1.4349,1,1,0,1,0.066134,0.066134,0.7,0
1.4349,1,1,0,1,0.066384,0.066384,0.7,0
1.4349,1,1,0,1,0.066633,0.066633,0.7,0
1.4349,1,1,0,1,0.066883,0.066883,0.7,0
1.4341,1,1,0,1,0.067133,0.067133,0.7,0
1.4341,1,1,0,1,0.067382,0.067382,0.7,0
1.4341,1,1,0,1,0.067632,0.067632,0.7,0
1.4341,1,1,0,1,0.067881,0.067881,0.7,0
1.4332,1,1,0,1,0.068131,0.068131,0.7,0
1.4332,1,1,0,1,0.06838,0.06838,0.7,0
1.4332,1,1,0,1,0.06863,0.06863,0.7,0
1.4332,1,1,0,1,0.068879,0.068879,0.7,0
1.4323,1,1,0,1,0.069129,0.069129,0.7,0
1.4323,1,1,0,1,0.069379,0.069379,0.7,0
