0.55000D+03,0.35967D+00,0.83084D+00,0.80211D+00,0.93729D+00,0.83197D+00,0.81478D+00,0.78643D+00,0.88696D+00,0.84975D+00,0.73498D+00,0.80284D+00,0.74828D+00,0.26541D+00,0.78577D+00,0.48558D+00,0.29921D+00,0.44437D+00,0.59111D+00,0.72818D+00,0.56423D+00,0.52042D+00,0.37529D+00,0.40294D+00,0.45432D+00,0.82090D+00,0.41197D+00,0.91860D+00,0.96236D+00,0.59556D+00,0.19323D+00,0.22991D+00,0.62992D+00,0.64459D+00,0.63182D+00,0.74071D+00,0.86574D+00,0.78938D+00,0.27569D+00,0.40073D+00,0.66899D+00,0.94190D+00,0.93310D+00,0.87774D+00,0.82537D+00,0.41425D+00,0.46856D-01,0.10054D+00,0.41672D+00,0.13093D-01,0.19270D+00,0.29756D+00,0.62418D+00
0.60000D+03,0.40828D+00,0.86306D+00,0.83559D+00,0.95140D+00,0.85557D+00,0.85015D+00,0.82748D+00,0.91674D+00,0.87758D+00,0.79586D+00,0.85010D+00,0.80724D+00,0.33071D+00,0.82598D+00,0.55794D+00,0.35781D+00,0.48941D+00,0.66387D+00,0.76393D+00,0.63891D+00,0.59641D+00,0.45036D+00,0.47915D+00,0.53143D+00,0.86682D+00,0.47586D+00,0.94344D+00,0.97321D+00,0.67358D+00,0.25371D+00,0.29613D+00,0.70628D+00,0.71819D+00,0.70880D+00,0.79071D+00,0.90197D+00,0.84280D+00,0.34543D+00,0.47097D+00,0.70946D+00,0.95985D+00,0.95389D+00,0.91247D+00,0.86587D+00,0.48432D+00,0.55038D-01,0.12120D+00,0.49123D+00,0.19279D-01,0.23528D+00,0.34933D+00,0.65632D+00
0.65000D+03,0.45536D+00,0.88934D+00,0.86351D+00,0.96233D+00,0.87595D+00,0.87880D+00,0.86083D+00,0.93870D+00,0.90022D+00,0.84433D+00,0.88651D+00,0.85378D+00,0.39893D+00,0.85931D+00,0.62489D+00,0.41755D+00,0.53231D+00,0.72743D+00,0.79388D+00,0.70501D+00,0.66506D+00,0.52323D+00,0.55208D+00,0.60335D+00,0.90172D+00,0.53674D+00,0.96069D+00,0.98083D+00,0.74120D+00,0.31983D+00,0.36639D+00,0.77072D+00,0.78043D+00,0.77364D+00,0.83152D+00,0.92837D+00,0.88398D+00,0.41719D+00,0.53815D+00,0.74292D+00,0.97208D+00,0.96807D+00,0.93763D+00,0.89719D+00,0.55222D+00,0.64547D-01,0.14451D+00,0.56304D+00,0.27301D-01,0.27981D+00,0.40068D+00,0.68554D+00
0.70000D+03,0.50042D+00,0.91068D+00,0.88678D+00,0.97080D+00,0.89365D+00,0.90196D+00,0.88780D+00,0.95480D+00,0.91863D+00,0.88211D+00,0.91422D+00,0.88973D+00,0.46775D+00,0.88671D+00,0.68522D+00,0.47693D+00,0.57299D+00,0.78145D+00,0.81893D+00,0.76187D+00,0.72529D+00,0.59172D+00,0.61967D+00,0.66841D+00,0.92778D+00,0.59371D+00,0.97259D+00,0.98620D+00,0.79790D+00,0.38922D+00,0.43797D+00,0.82336D+00,0.83144D+00,0.82646D+00,0.86456D+00,0.94744D+00,0.91500D+00,0.48835D+00,0.60078D+00,0.77065D+00,0.98042D+00,0.97774D+00,0.95562D+00,0.92124D+00,0.61619D+00,0.75573D-01,0.17032D+00,0.63013D+00,0.37364D-01,0.32526D+00,0.45065D+00,0.71225D+00
0.75000D+03,0.54315D+00,0.92798D+00,0.90617D+00,0.97739D+00,0.90904D+00,0.92068D+00,0.90957D+00,0.96659D+00,0.93363D+00,0.91109D+00,0.93513D+00,0.91708D+00,0.53501D+00,0.90907D+00,0.73836D+00,0.53460D+00,0.61141D+00,0.82632D+00,0.83988D+00,0.80961D+00,0.77686D+00,0.65431D+00,0.68065D+00,0.72577D+00,0.94703D+00,0.64620D+00,0.98078D+00,0.99000D+00,0.84412D+00,0.45939D+00,0.50835D+00,0.86520D+00,0.87214D+00,0.86833D+00,0.89115D+00,0.96116D+00,0.93797D+00,0.55668D+00,0.65793D+00,0.79382D+00,0.98614D+00,0.98435D+00,0.96837D+00,0.93962D+00,0.67494D+00,0.88274D-01,0.19841D+00,0.69109D+00,0.49617D-01,0.37066D+00,0.49850D+00,0.73674D+00
0.80000D+03,0.58334D+00,0.94195D+00,0.92232D+00,0.98250D+00,0.92241D+00,0.93581D+00,0.92711D+00,0.97522D+00,0.94585D+00,0.93308D+00,0.95085D+00,0.93768D+00,0.59891D+00,0.92720D+00,0.78424D+00,0.58945D+00,0.64754D+00,0.86288D+00,0.85745D+00,0.84891D+00,0.82010D+00,0.71013D+00,0.73439D+00,0.77524D+00,0.96112D+00,0.69395D+00,0.98642D+00,0.99270D+00,0.88091D+00,0.52802D+00,0.57540D+00,0.89774D+00,0.90388D+00,0.90079D+00,0.91250D+00,0.97106D+00,0.95477D+00,0.62041D+00,0.70913D+00,0.81337D+00,0.99008D+00,0.98889D+00,0.97737D+00,0.95364D+00,0.72766D+00,0.10276D+00,0.22846D+00,0.74507D+00,0.64149D-01,0.41516D+00,0.54372D+00,0.75925D+00
0.85000D+03,0.62089D+00,0.95324D+00,0.93575D+00,0.98648D+00,0.93400D+00,0.94804D+00,0.94123D+00,0.98155D+00,0.95581D+00,0.94965D+00,0.96267D+00,0.95310D+00,0.65806D+00,0.94183D+00,0.82321D+00,0.64064D+00,0.68136D+00,0.89221D+00,0.87226D+00,0.88072D+00,0.85576D+00,0.75892D+00,0.78083D+00,0.81712D+00,0.97139D+00,0.73689D+00,0.99033D+00,0.99464D+00,0.90962D+00,0.59315D+00,0.63751D+00,0.92263D+00,0.92820D+00,0.92553D+00,0.92961D+00,0.97825D+00,0.96694D+00,0.67840D+00,0.75431D+00,0.83005D+00,0.99283D+00,0.99203D+00,0.98372D+00,0.96434D+00,0.77399D+00,0.11909D+00,0.26009D+00,0.79177D+00,0.80983D-01,0.45808D+00,0.58597D+00,0.77995D+00
0.90000D+03,0.65577D+00,0.96235D+00,0.94693D+00,0.98955D+00,0.94402D+00,0.95793D+00,0.95260D+00,0.98621D+00,0.96395D+00,0.96209D+00,0.97157D+00,0.96462D+00,0.71156D+00,0.95358D+00,0.85586D+00,0.68763D+00,0.71287D+00,0.91546D+00,0.88482D+00,0.90614D+00,0.88477D+00,0.80082D+00,0.82030D+00,0.85203D+00,0.97887D+00,0.77512D+00,0.99305D+00,0.99604D+00,0.93167D+00,0.65333D+00,0.69363D+00,0.94145D+00,0.94655D+00,0.94417D+00,0.94332D+00,0.98351D+00,0.97574D+00,0.72999D+00,0.79368D+00,0.84447D+00,0.99477D+00,0.99423D+00,0.98821D+00,0.97251D+00,0.81397D+00,0.13727D+00,0.29291D+00,0.83135D+00,0.10007D+00,0.49890D+00,0.62510D+00,0.79900D+00
0.95000D+03,0.68803D+00,0.96969D+00,0.95622D+00,0.99194D+00,0.95265D+00,0.96594D+00,0.96176D+00,0.98966D+00,0.97059D+00,0.97141D+00,0.97829D+00,0.97322D+00,0.75898D+00,0.96299D+00,0.88288D+00,0.73012D+00,0.74209D+00,0.93373D+00,0.89554D+00,0.92625D+00,0.90813D+00,0.83629D+00,0.85338D+00,0.88078D+00,0.98432D+00,0.80886D+00,0.99496D+00,0.99706D+00,0.94840D+00,0.70760D+00,0.74326D+00,0.95556D+00,0.96025D+00,0.95810D+00,0.95431D+00,0.98741D+00,0.98209D+00,0.77503D+00,0.82761D+00,0.85706D+00,0.99614D+00,0.99578D+00,0.99140D+00,0.97876D+00,0.84792D+00,0.15724D+00,0.32652D+00,0.86427D+00,0.12131D+00,0.53728D+00,0.66109D+00,0.81653D+00
0.10000D+04,0.71772D+00,0.97560D+00,0.96393D+00,0.99379D+00,0.96006D+00,0.97242D+00,0.96914D+00,0.99221D+00,0.97602D+00,0.97840D+00,0.98338D+00,0.97967D+00,0.80023D+00,0.97048D+00,0.90504D+00,0.76804D+00,0.76906D+00,0.94799D+00,0.90476D+00,0.94204D+00,0.92679D+00,0.86597D+00,0.88081D+00,0.90422D+00,0.98830D+00,0.83837D+00,0.99631D+00,0.99781D+00,0.96100D+00,0.75550D+00,0.78633D+00,0.96611D+00,0.97040D+00,0.96848D+00,0.96312D+00,0.99033D+00,0.98669D+00,0.81369D+00,0.85659D+00,0.86816D+00,0.99713D+00,0.99689D+00,0.99369D+00,0.98356D+00,0.87634D+00,0.17889D+00,0.36051D+00,0.89122D+00,0.14453D+00,0.57303D+00,0.69399D+00,0.83266D+00
