1050,0.747545,0.984464,0.973312,0.995447,0.973285,0.981225,0.980247,0.996043,0.982443,0.989242,0.991508,0.990675,0.868944,0.979675,0.937154,0.826846,0.799788,0.974968,0.911127,0.970703,0.965355,0.92232,0.935567,0.949673,0.993736,0.878935,0.998464,0.998915,0.983408,0.817797,0.853121,0.965827,0.982162,0.984842,0.976644,0.995431,0.995999,0.874341,0.905195,0.87439,0.998748,0.998981,0.99748,0.991115,0.919005,0.174001,0.367776,0.916699,0.13231,0.612927,0.746648,0.861004,1.1169e-315
1100,0.772998,0.988006,0.978396,0.996555,0.978246,0.985011,0.984334,0.997113,0.985847,0.992143,0.9937,0.993203,0.897359,0.984378,0.95075,0.855981,0.823881,0.981311,0.91802,0.97805,0.973885,0.940066,0.950783,0.96192,0.995408,0.900653,0.998936,0.999204,0.988194,0.854246,0.883551,0.973039,0.987164,0.989116,0.981594,0.996561,0.997188,0.900908,0.923776,0.884193,0.999085,0.999291,0.998243,0.993249,0.937165,0.199614,0.407891,0.935168,0.159882,0.643883,0.774763,0.874585,1.08012e-315
1150,0.796102,0.99078,0.982557,0.99739,0.982372,0.988044,0.987576,0.997888,0.988612,0.994225,0.995315,0.995024,0.920132,0.988039,0.961393,0.880731,0.845855,0.986,0.924106,0.983511,0.980305,0.953933,0.962526,0.971248,0.996608,0.919074,0.99926,0.999412,0.991545,0.884167,0.908165,0.978644,0.990721,0.992143,0.985482,0.997405,0.998001,0.922271,0.93902,0.893097,0.999327,0.999505,0.998766,0.994853,0.951363,0.227319,0.448025,0.949536,0.189805,0.672339,0.800182,0.887116,1.04877e-315
1200,0.817028,0.992942,0.985951,0.998018,0.985781,0.990473,0.990149,0.998452,0.990853,0.995725,0.996508,0.996341,0.93812,0.990875,0.969687,0.90157,0.865742,0.989465,0.929522,0.987566,0.985122,0.964676,0.971523,0.978312,0.997478,0.934535,0.999484,0.999563,0.993897,0.908345,0.927815,0.983039,0.993253,0.994295,0.98854,0.99804,0.998562,0.939248,0.95145,0.901222,0.999503,0.999654,0.999128,0.996063,0.962366,0.256822,0.48767,0.96063,0.221716,0.698488,0.823112,0.898638,1.02191e-315
1250,0.835946,0.994619,0.988711,0.99849,0.988579,0.992416,0.992192,0.998862,0.992667,0.996813,0.997392,0.9973,0.952154,0.993061,0.976134,0.918981,0.883604,0.992031,0.934374,0.99058,0.988732,0.972946,0.978377,0.983639,0.998114,0.947379,0.999639,0.999673,0.995556,0.927629,0.943336,0.986512,0.995063,0.995835,0.99095,0.99852,0.998956,0.952607,0.961522,0.908666,0.999632,0.999758,0.999381,0.996981,0.970837,0.28778,0.526382,0.969163,0.255203,0.722537,0.843748,0.909191,9.98786e-316
1300,0.853022,0.995914,0.990949,0.998845,0.990861,0.993968,0.993814,0.999162,0.994132,0.997608,0.998049,0.998,0.962995,0.99474,0.981141,0.933437,0.899527,0.993937,0.938747,0.992827,0.991437,0.979281,0.983577,0.987646,0.998582,0.957948,0.999747,0.999754,0.996737,0.942847,0.955493,0.989273,0.996364,0.996943,0.99285,0.998883,0.999234,0.963038,0.969636,0.915508,0.999727,0.999831,0.999558,0.997679,0.977332,0.319816,0.56379,0.975722,0.289828,0.744687,0.862276,0.918818,9.78792e-316
1350,0.868414,0.996909,0.992758,0.999114,0.992712,0.995208,0.995103,0.999382,0.995312,0.998192,0.998538,0.998515,0.971309,0.996024,0.985032,0.945375,0.913623,0.995361,0.942709,0.994509,0.993468,0.984119,0.987514,0.990656,0.99893,0.966565,0.999822,0.999814,0.997586,0.954763,0.964958,0.991478,0.997307,0.997747,0.994352,0.999158,0.999434,0.971136,0.976131,0.921813,0.999796,0.999881,0.999683,0.998213,0.982306,0.352537,0.599597,0.980779,0.325142,0.765125,0.878866,0.927566,9.61444e-316
1400,0.882271,0.997669,0.994216,0.999317,0.994206,0.996196,0.996125,0.999543,0.99626,0.998625,0.998902,0.998894,0.977656,0.997003,0.988064,0.955193,0.926016,0.996431,0.946314,0.995774,0.994997,0.987809,0.99049,0.992917,0.999189,0.973535,0.999875,0.999859,0.998203,0.964048,0.9723,0.993243,0.997996,0.998333,0.995538,0.999366,0.999579,0.977397,0.981302,0.927639,0.999848,0.999917,0.999771,0.998621,0.986119,0.385554,0.633581,0.984696,0.360715,0.784016,0.893678,0.935482,9.46344e-316
1450,0.894732,0.998248,0.995388,0.999472,0.995405,0.996983,0.996936,0.999661,0.997021,0.998948,0.999174,0.999174,0.982491,0.997748,0.990435,0.963239,0.936842,0.99724,0.949607,0.996732,0.996153,0.990622,0.992741,0.994617,0.999384,0.979129,0.999912,0.999893,0.998655,0.971266,0.977988,0.994655,0.998502,0.998763,0.996476,0.999523,0.999685,0.98223,0.985395,0.93303,0.999886,0.999941,0.999834,0.998935,0.989049,0.418497,0.665586,0.987754,0.396138,0.801501,0.906862,0.942617,9.33164e-316
1500,0.905926,0.998687,0.996328,0.999591,0.996363,0.997609,0.997579,0.999748,0.997629,0.999191,0.999378,0.999382,0.986178,0.998312,0.992297,0.969817,0.946244,0.997855,0.952628,0.997461,0.997031,0.992771,0.994446,0.995898,0.999532,0.983591,0.999938,0.999918,0.998989,0.976883,0.9824,0.995785,0.998877,0.99908,0.997217,0.999642,0.999764,0.98596,0.988618,0.938025,0.999914,0.999959,0.99988,0.999176,0.991312,0.451026,0.695523,0.990159,0.431046,0.817696,0.918557,0.949023,9.21633e-316
